target,target_column,model,fold,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Expanded demand-pressure index,y_expanded_demand_pressure_index,14-day moving average,3,0.2190540645919265,0.2897886383330097,19.892088420245084,-0.06487910804743979,-0.003564533926095691,0.17819601814376484
Expanded demand-pressure index,y_expanded_demand_pressure_index,14-day moving average,4,0.19075673813677707,0.2472819154190818,19.20819421638667,-0.051060562494286144,0.0024770946461360466,0.11873365770951894
Expanded demand-pressure index,y_expanded_demand_pressure_index,14-day moving average,5,0.23620149591217546,0.29459924333112225,22.03848587487907,-0.04918548277780532,0.003545074030703603,0.1949971943960665
Expanded demand-pressure index,y_expanded_demand_pressure_index,LSTM 28-step (S2),1,0.21484461792300627,0.2673586742898976,21.18071607704368,0.09800951964822957,0.09200825806592014,0.1693360508556434
Expanded demand-pressure index,y_expanded_demand_pressure_index,LSTM 28-step (S2),2,0.24703350068735608,0.2975630423488729,22.26968107159257,0.11243214455657913,-0.005784300142789409,0.229197259202148
Expanded demand-pressure index,y_expanded_demand_pressure_index,LSTM 28-step (S2),3,0.21775602795739496,0.28186245789649045,19.45052496785231,-0.007423477712031223,-0.022913998713261084,0.19614410003026328
Expanded demand-pressure index,y_expanded_demand_pressure_index,LSTM 28-step (S2),4,0.21119636514227952,0.262563771582536,22.70150346639408,-0.1849844003111838,0.10264773514164563,0.16604572394314943
Expanded demand-pressure index,y_expanded_demand_pressure_index,LSTM 28-step (S2),5,0.2160085745167647,0.27285235021904736,19.144173538680576,0.09999604777110416,-0.0464181080169663,0.16453390329603168
Secondary trip-capacity utilization,y_secondary_capacity_rate,Random forest (S2),1,0.11686931952201843,0.14743352385415093,15.831751987196224,0.21419928783121045,0.03427380550320885,0.09641782384282394
Secondary trip-capacity utilization,y_secondary_capacity_rate,Random forest (S2),2,0.1315491561975835,0.16808447391598463,18.3327494886463,0.32876042805582084,-0.0013704753054096116,0.10166246071636725
Secondary trip-capacity utilization,y_secondary_capacity_rate,Random forest (S2),3,0.13338340902987156,0.1637984853599305,19.65701271562657,0.1709001939546707,0.04009700345230461,0.13177911672282816
Secondary trip-capacity utilization,y_secondary_capacity_rate,Random forest (S2),4,0.11901486863000675,0.15312104400849477,16.67500324130949,0.25027152528847296,0.025769298359223532,0.10789440910430115
Secondary trip-capacity utilization,y_secondary_capacity_rate,Random forest (S2),5,0.11258446140955004,0.1375880344338687,16.177776607345283,0.39569934281470565,0.04313251511952343,0.08729290791840444
Secondary trip-capacity utilization,y_secondary_capacity_rate,XGBoost (S2),1,0.12600577636198565,0.15244028398346104,16.383299670777394,0.15992236149594863,0.03266394225033847,0.1202699613571167
Secondary trip-capacity utilization,y_secondary_capacity_rate,XGBoost (S2),2,0.13474626416509802,0.1725010434827763,18.54927357696483,0.29302215147235133,-0.006360765966502124,0.093208988904953
Secondary trip-capacity utilization,y_secondary_capacity_rate,XGBoost (S2),3,0.13425975566560575,0.17359853448663767,19.427764029334945,0.06872239445170414,0.04873835103078323,0.11100255250930785
Secondary trip-capacity utilization,y_secondary_capacity_rate,XGBoost (S2),4,0.14469721317291256,0.18071185040348267,20.24914701498165,-0.04425727220569109,0.04279668883843854,0.14477589607238767
